chr2	181950000	182600000
chr2	62650000	63050000
chr2	46700000	47550000
chr2	209250000	210200000
chr2	153150000	153500000
chr2	74050000	74400000
chr2	83600000	84050000
chr2	157450000	157750000
chr2	60550000	60800000
chr2	65800000	66650000
chr2	228000000	230600000
chr2	173400000	173650000
chr2	101200000	101650000
chr2	48800000	50700000
chr2	178000000	178350000
chr2	206550000	206850000
chr2	65150000	65450000
chr2	157000000	158150000
chr2	221100000	221500000
chr2	149850000	150400000
chr2	233450000	234250000
chr2	23400000	24000000
chr2	114200000	114750000
chr2	197650000	198300000
chr2	216250000	216800000
chr2	73450000	75900000
chr2	201750000	202050000
chr2	48050000	50700000
chr2	118800000	119700000
chr2	114200000	114700000
chr2	46700000	47150000
chr2	98000000	98950000
chr2	219100000	220400000
chr2	74900000	75150000
chr2	178950000	179550000
chr2	171250000	171550000
chr2	63900000	64250000
chr2	210150000	210800000
chr2	55900000	56250000
chr2	35800000	36550000
chr2	36050000	36550000
chr2	101350000	101600000
chr2	220550000	222850000
chr2	45200000	45800000
chr2	226500000	227900000
chr2	234850000	235450000
chr2	206550000	206800000
chr2	7250000	7500000
chr2	232350000	232600000
chr2	120450000	120950000
chr2	150450000	152100000
chr2	37250000	39550000
chr2	55900000	56300000
chr2	13200000	15150000
chr2	62650000	63300000
chr2	189850000	190300000
chr2	21200000	23600000
chr2	64750000	65150000
chr2	158300000	158900000
chr2	56400000	57850000
chr2	225200000	225600000
chr2	68300000	70500000
chr2	71500000	71750000
chr2	159750000	160100000
chr2	227900000	228150000
chr2	65450000	65800000
chr2	45800000	46700000
chr2	113900000	114150000
chr2	43450000	43700000
chr2	17600000	17850000
chr2	233450000	234750000
chr2	40100000	40700000
chr2	171750000	172400000
chr2	218650000	219050000
chr2	188450000	188700000
chr2	167350000	168200000
chr2	60950000	61250000
chr2	214200000	215900000
chr2	67900000	68300000
chr2	38150000	38550000
chr2	128250000	128650000
chr2	32850000	33550000
chr2	7500000	8850000
chr2	17950000	18550000
chr2	40700000	41000000
chr2	24600000	25150000
chr2	120400000	120950000
chr2	223800000	224550000
chr2	54000000	55850000
chr2	188350000	190500000
chr2	27850000	29050000
chr2	236700000	237100000
chr2	171800000	172400000
chr2	38750000	39000000
chr2	239200000	241100000
chr2	102000000	102400000
chr2	152350000	152850000
chr2	113850000	114200000
chr2	162800000	163200000
chr2	152450000	152850000
chr2	49150000	50700000
chr2	200450000	200750000
chr2	74150000	74400000
chr2	70550000	71250000
chr2	160900000	161950000
chr2	58100000	58700000
chr2	198650000	199000000
chr2	220250000	220500000
chr2	9600000	10200000
chr2	189400000	189850000
chr2	24350000	24600000
chr2	233450000	234200000
chr2	33900000	36550000
chr2	83600000	84150000
chr2	240950000	241400000
chr2	223500000	224800000
chr2	135650000	136650000
chr2	181950000	182550000
chr2	114200000	114650000
chr2	68300000	68650000
chr2	127750000	129400000
chr2	8450000	8700000
chr2	37300000	39150000
chr2	187600000	188300000
chr2	121050000	122850000
chr2	135250000	135650000
chr2	217550000	218650000
chr2	232750000	233200000
chr2	177550000	178000000
